pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HD 133131 B b,HD 133131 B,2,3,Radial Velocity,2016,Las Campanas Observatory,0,5769,831,-831,0,6.15,0.59,-0.59,0,13.3,,,0,1.18,,,0,794.575,15.8915,-15.8915,0,2.5,0.05,-0.05,0,Msini,0.61,0.04,-0.04,0,,,,,,,,,0,G2 V,5805,15,-15,0,0.99,0.05,-0.03,0,0.93,,,0,-0.281,0.013,-0.013,0,[Fe/H],4.41,0.04,-0.04,0,15h03m35.99s,225.8999745,-27d50m29.74s,-27.8415947,51.2993,0.1684,-0.1673,8.413,0.002,-0.002,6.896,0.026,-0.026,8.25674,0.000513,-0.000513
HD 134060 b,HD 134060,1,2,Radial Velocity,2019,La Silla Observatory,0,3.2696,0.0001,-0.0001,0,0.0444,0.0013,-0.0014,0,3.16,,,0,0.282,,,0,10.1,0.79,-0.75,0,0.0318,0.0025,-0.0024,0,Msini,0.45,0.04,-0.04,0,,,,,,,,,0,G3 IV,5966,14,-14,0,1.16,0.01,-0.02,0,1.09,,,0,0.14,0.01,-0.01,0,[Fe/H],4.43,0.03,-0.03,0,15h10m44.34s,227.6847587,-61d25m20.55s,-61.4223747,24.0125,0.0204,-0.0203,6.29,0.03,-0.03,4.836,0.026,-0.026,6.13951,0.0005419,-0.0005419
HD 134060 c,HD 134060,1,2,Radial Velocity,2019,La Silla Observatory,0,1291.5646,48.0333,-44.2197,0,2.3928,0.0929,-0.0951,0,5.91,,,0,0.527,,,0,29.29,4.43,-4.24,0,0.0922,0.0139,-0.0133,0,Msini,0.11,0.13,-0.07,0,,,,,,,,,0,G3 IV,5966,14,-14,0,1.16,0.01,-0.02,0,1.09,,,0,0.14,0.01,-0.01,0,[Fe/H],4.43,0.03,-0.03,0,15h10m44.34s,227.6847587,-61d25m20.55s,-61.4223747,24.0125,0.0204,-0.0203,6.29,0.03,-0.03,4.836,0.026,-0.026,6.13951,0.0005419,-0.0005419
HD 134987 b,HD 134987,1,2,Radial Velocity,1999,W. M. Keck Observatory,0,258.17999,0.07,-0.07,0,0.81,0.02,-0.02,0,13.5,,,0,1.21,,,0,511.7063,22.2481,-22.2481,0,1.61,0.07,-0.07,0,Msini,0.23,0,0,0,,,,,,,,,0,G5 V,5736,17,-17,0,1.22,0.03,-0.03,0,1.1,0.07,-0.07,0,0.28,,,0,[Fe/H],4.31,0.02,-0.02,0,15h13m28.21s,228.3675397,-25d18m34.82s,-25.3096721,26.1804,0.0516,-0.0515,6.47,0.03,-0.03,4.882,0.016,-0.016,6.28994,0.0004336,-0.0004336
HD 134987 c,HD 134987,1,2,Radial Velocity,2009,Multiple Observatories,0,5000,400,-400,0,5.8,0.5,-0.5,0,13.9,,,0,1.24,,,0,260,10,-10,0,0.82,0.03,-0.03,0,Msini,0.12,0.02,-0.02,0,,,,,,,,,0,G5 V,5585,50,-50,0,1.25,0.04,-0.04,0,1.1,0.07,-0.04,0,0.28,,,0,[Fe/H],4.31,0.02,-0.02,0,15h13m28.21s,228.3675397,-25d18m34.82s,-25.3096721,26.1804,0.0516,-0.0515,6.47,0.03,-0.03,4.882,0.016,-0.016,6.28994,0.0004336,-0.0004336
HD 136352 b,HD 136352,1,3,Radial Velocity,2019,La Silla Observatory,0,11.57779,0.00091,-0.0011,0,0.0969,0.0019,-0.0017,0,1.482,0.058,-0.056,0,0.132,0.005,-0.005,0,4.62,0.45,-0.44,0,0.01454,0.00142,-0.00138,0,Mass,0.079,0.068,-0.053,0,114,10,-9,0,911,18,-18,0,0,G4 V,5850,100,-100,0,1.01,0.02,-0.02,0,0.91,0.06,-0.05,0,-0.25,0.12,-0.12,0,[Fe/H],4.38,0.03,-0.03,0,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.682,0.0199,-0.0198,5.65,0.03,-0.03,4.159,0.036,-0.036,5.48495,0.0015675,-0.0015675
HD 136352 c,HD 136352,1,3,Radial Velocity,2019,La Silla Observatory,0,27.5909,0.0028,-0.0031,0,0.1729,0.0034,-0.003,0,2.608,0.078,-0.077,0,0.233,0.007,-0.007,0,11.29,0.73,-0.69,0,0.03552,0.0023,-0.00217,0,Mass,0.037,0.039,-0.026,0,36,3,-3,0,682,14,-13,0,0,G4 V,5850,100,-100,0,1.01,0.02,-0.02,0,0.91,0.06,-0.05,0,-0.25,0.12,-0.12,0,[Fe/H],4.38,0.03,-0.03,0,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.682,0.0199,-0.0198,5.65,0.03,-0.03,4.159,0.036,-0.036,5.48495,0.0015675,-0.0015675
HD 136352 d,HD 136352,1,3,Radial Velocity,2019,La Silla Observatory,0,107.63,0.18,-0.19,0,0.4285,0.0085,-0.0076,0,3.23,,,0,0.288,,,0,10.5,1.1,-1,0,0.03304,0.00346,-0.00315,0,Msini,0.075,0.085,-0.053,0,5.8,0.5,-0.5,0,433,9,-8,0,0,G4 V,5850,100,-100,0,1.01,0.02,-0.02,0,0.91,0.06,-0.05,0,-0.25,0.12,-0.12,0,[Fe/H],4.38,0.03,-0.03,0,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.682,0.0199,-0.0198,5.65,0.03,-0.03,4.159,0.036,-0.036,5.48495,0.0015675,-0.0015675
HD 136418 b,HD 136418,1,1,Radial Velocity,2009,W. M. Keck Observatory,0,464.29999,3.2,-3.2,0,1.29,0.03,-0.03,0,13.3,,,0,1.19,,,0,680.1562,47.6745,-47.6745,0,2.14,0.15,-0.15,0,Msini,0.25,0.04,-0.04,0,,,,,,,,,0,G5,4989,10,-10,0,3.78,0.1,-0.1,0,1.48,0.12,-0.12,0,-0.11,,,0,[Fe/H],3.45,0.03,-0.03,0,15h19m06.15s,229.7756438,+41d43m56.72s,41.732423,105.168,0.311,-0.31,7.849,0.0459,-0.0459,,,,7.60946,0.000209,-0.000209
HD 137388 b,HD 137388,1,1,Radial Velocity,2011,La Silla Observatory,0,330,3,-3,0,0.89,0.02,-0.02,0,9.32,,,0,0.832,,,0,63.566,6.3566,-6.3566,0,0.2,0.02,-0.02,0,Msini,0.36,0.12,-0.12,0,,,,,,,,,0,K2 IV,5181,29,-29,0,0.88,0.01,-0.01,0,0.68,0.05,-0.05,0,0.19,,,0,[Fe/H],4.39,0.03,-0.03,0,15h35m39.62s,233.915082,-80d12m15.90s,-80.2044169,40.4841,0.054,-0.054,8.71,0.03,-0.03,6.763,0.023,-0.023,8.47996,0.000282,-0.000282
