,pl_name,pl_orbper_yrs,st_mass_x,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,st_teff,st_rad,ra,dec,sy_dist,spec_type,st_rad_m,st_lum,st_lum_sol,r_0,r_1,hab_zone
2281,Kepler-164 b,0.013785221245722108,1.09125,1,3,5.03505206,0.058633333333333336,,,6135.7,1.0979999999999999,287.78081149999997,47.6298453,890.758,F,763878599.9999999,5.892868576943352e+26,1.5394118539559434,1.7042742349285818,1.182989992256118,0
2282,Kepler-164 c,0.029967864555783704,1.0966666666666667,1,3,10.945762528999998,0.09844999999999998,,,6132.0,1.0909090909090908,287.78081149999997,47.62984530000001,890.7579999999999,F,758945454.5454545,5.8029832081938036e+26,1.5159308276368348,1.6912264320893882,1.1739331046594197,0
2283,Kepler-164 d,0.07936160849555099,1.0966666666666667,1,3,28.986827503,0.18878333333333333,,,6132.0,1.0909090909090908,287.78081149999997,47.62984530000001,890.7579999999999,F,758945454.5454545,5.8029832081938036e+26,1.5159308276368348,1.6912264320893882,1.1739331046594197,0
2284,Kepler-1640 b,0.020765072785763176,1.3250000000000002,1,1,7.584442835,0.08346666666666668,,,6280.0,1.585,294.5577857,40.850494899999994,1859.78,F,1102684500.0,1.3476053157252488e+27,3.520390061978184,2.5772554006071724,1.788953493469953,0
2285,Kepler-1641 b,0.05385951101984942,1.1133333333333335,1,2,19.6721864,0.1473,,,6315.428571428572,1.262857142857143,296.3594560000001,41.5745321,860.37,F,878569714.2857143,8.749542954518115e+26,2.285669528348515,2.0766761942469305,1.4414858269881605,0
2286,Kepler-1641 c,0.08940907786903947,1.1133333333333333,1,2,32.65666569166667,0.2065,,,6315.428571428572,1.2628571428571431,296.3594560000001,41.5745321,860.37,F,878569714.2857145,8.749542954518121e+26,2.2856695283485164,2.076676194246931,1.441485826988161,0
2287,Kepler-1642 b,0.03341825020762035,0.9,1,2,12.206015888333333,0.10159999999999998,,,5223.142857142857,1.11,297.2121215,43.643789000000005,413.87300000000005,G,772227000.0000001,3.16256297440676e+26,0.8261658762818078,1.2485205405416262,0.8666371140961574,0
2288,Kepler-1642 c,0.018210276495550994,0.9,1,2,6.65130349,0.0678,,,5223.142857142857,1.1099999999999999,297.2121215,43.643789000000005,413.87300000000005,G,772226999.9999999,3.162562974406759e+26,0.8261658762818074,1.2485205405416258,0.8666371140961572,0
2289,Kepler-1643 b,0.014627343422313484,0.7666666666666667,1,1,5.342637185,0.0531,,,5083.571428571428,0.7614285714285715,300.4310076000001,44.75101289999999,341.77399999999994,K,529725857.14285713,1.3353640062889577e+26,0.34884117196681236,0.8112896464909555,0.5631414903482496,0
2290,Kepler-1644 b,0.05774341366187542,0.8675,1,1,21.09078184,0.142,,,5674.428,0.83,285.4750512,48.0348356,629.27,G,577431000.0,2.463259415261341e+26,0.6434846957318028,1.1018720739806849,0.7648438317911125,0
